Thumbnail,Media Number,Filename,Original Filename,Customer,Credit,Description,Fee,Currency,Your Share (%),Your Share,Agency,Media Link,Slug?
<a href='https://www.nurphoto.com/photo/3465090' target='_blank'><img src='https://www.nurphoto.com/photo/3465090/picture/photo' width='100'/></a>,3465090,slabbers-99thannu181122_np34r,_BS18261.JPG,JDD.FR,NurPhoto,"Disney's Mini and Mickey Mouse ride on a Walt Disney World carriage during the 99th 6ABC/Dunkin' Donuts Annual Thanksgiving Day parade, in Philadelphia, PA, on November 22, 2018. The annual parade on Benjamin Franklin Parkway is the oldest in the nation. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/3465090,False
<a href='https://www.nurphoto.com/photo/3006310' target='_blank'><img src='https://www.nurphoto.com/photo/3006310/picture/photo' width='100'/></a>,3006310,slabbers-abolishi180804_nppAg,_BS30062.jpg,The Fact Lab S.A.P.I.,NurPhoto,"Protestors march on Independence Mall during an Abolish ICE protest to demand the halt of deportations and an end to family detentions, during a march and rally in Center City Philadelphia, PA, on August 4, 2018. After Mayor Jim Kenneys announcement to end the PARS contract protestors demand a guarantee for no further collaboration with Department of Homeland Securitys U.S. Immigration and Customs Enforcement (ICE), in Philadelphia.   (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/3006310,False
<a href='https://www.nurphoto.com/photo/3769348' target='_blank'><img src='https://www.nurphoto.com/photo/3769348/picture/photo' width='100'/></a>,3769348,slabbers-aftermat190207_npcKQ,2019 02 07_01__BS11464 - Bensalem I95 Woodhaven Road Off Ramp  - Public Water PFAs Pollution  =E2=80=94 BS1541.JPG,Haymarket Media Group LtdBu,NurPhoto,"Firefighter foam remains on the surface after firefighters placed a Class B fire under control at an off ramp of the Interstate I-95, in Bensalem Township, Pennsylvania, on February 7, 2019. Aqueous film forming foams (AFFF) used in fighting fires of flammable liquids or flammable gases, oils, solvents and alcohols can containsodiumalkyl sulfate, fluorotelomers, perfluorooctanoicacid(PFOA) or perfluorooctanesulfonicacid(PFOS).
The United States Environmental Protection Agency (EPA) is expected to release updates on tests of per- and polyfuoroalkyl substances or PFAs pollution in public water supplies for 16 million Americans in 33 states, including Pennsylvania. The federal report is delayed due to January 2019 shutdown. Reps. Brian Fitzpatrick, Republican of Bucks County in Eastern Pennsylvania and Democrat Dan Kildee, of Michigan cochair a bipartisan task force in the House of Representatives, formed to take on the growingPFAS ContaminationCrisis. The usage of foam at nearby former military bases is linked to tainted drinking water, affecting tens of thousands of residents in Bucks and Montgomery Counties in Eastern Pennsylvania. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/3769348,False
<a href='https://www.nurphoto.com/photo/1772656' target='_blank'><img src='https://www.nurphoto.com/photo/1772656/picture/photo' width='100'/></a>,1772656,slabbers-antiacar170225_np5Ss,BS1249_ACA_Rally_BS1249_001__BAS7098.jpg,NBC News,NurPhoto,"Health Care professionals, including Doctors, Physicians and Registered Nurses, as well as several elected officials are amongst hundreds gathered to protest the Affordable Care Act repeal by the Trump-Administration, at a Feb. 25th, 2017 rally in Center City Philadelphia, PA. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/1772656,False
<a href='https://www.nurphoto.com/photo/2619792' target='_blank'><img src='https://www.nurphoto.com/photo/2619792/picture/photo' width='100'/></a>,2619792,slabbers-antiraci180415_np7cs,_BAS3851.jpg,EXPANSION,NurPhoto,"Asa Khalif, with Black Lives Matter Philadelphia Chapter, uses the bullhorn to reach customers inside as protesters gather outside the Starbucks on 18th and Spruce to protest the controversial arrest of two black men at that location. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/2619792,False
<a href='https://www.nurphoto.com/photo/1876189' target='_blank'><img src='https://www.nurphoto.com/photo/1876189/picture/photo' width='100'/></a>,1876189,slabbers-antitran170401_nprrC,_BAS1337.JPG,RTBF - Radio Television Belge,NurPhoto,"Amber Hikes, Director of city=E2=80=99s Office of LGTBQ Affairs speaks as the LGTBQ community hold a rally at City Hall in anticipation of a planned tour stop of a anti-transgender rights bus, in Philadelphia, PA, on April 1, 2017. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/1876189,False
<a href='https://www.nurphoto.com/photo/1899636' target='_blank'><img src='https://www.nurphoto.com/photo/1899636/picture/photo' width='100'/></a>,1899636,slabbers-antitrum170415_npO1C,_BAS2826.JPG,Fadaat Media Ltd,NurPhoto,"Protestors gather in Center City Philadelphia, PA, ahead of the April 15 Tax Day March. Around the nation thousands are expected to participate in similar protests against the Trump-administration. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/1899636,False
<a href='https://www.nurphoto.com/photo/2903884' target='_blank'><img src='https://www.nurphoto.com/photo/2903884/picture/photo' width='100'/></a>,2903884,slabbers-arrestsa180703_npLTJ,_BS11383.jpg,New York Post Online,NurPhoto,"Law enforcement officers of the Philadelphia Police Department, Homeland Security and National Park Service stands by as protestors build a small encampment outside a Department of Homeland Security U.S. Immigrations and Custom Enforcement (ICE) office in Center City Philadelphia, PA, on July 3, 2018. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/2903884,False
<a href='https://www.nurphoto.com/photo/2903884' target='_blank'><img src='https://www.nurphoto.com/photo/2903884/picture/photo' width='100'/></a>,2903884,slabbers-arrestsa180703_npLTJ,_BS11383.jpg,ViacomCBS ED,NurPhoto,"Law enforcement officers of the Philadelphia Police Department, Homeland Security and National Park Service stands by as protestors build a small encampment outside a Department of Homeland Security U.S. Immigrations and Custom Enforcement (ICE) office in Center City Philadelphia, PA, on July 3, 2018. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/2903884,False
<a href='https://www.nurphoto.com/photo/2903884' target='_blank'><img src='https://www.nurphoto.com/photo/2903884/picture/photo' width='100'/></a>,2903884,slabbers-arrestsa180703_npLTJ,_BS11383.jpg,ViacomCBS ED,NurPhoto,"Law enforcement officers of the Philadelphia Police Department, Homeland Security and National Park Service stands by as protestors build a small encampment outside a Department of Homeland Security U.S. Immigrations and Custom Enforcement (ICE) office in Center City Philadelphia, PA, on July 3, 2018. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/2903884,False
